month,cus_1900y_ct,sub_1900y_ct,cus_1900n_ct,sub_1900n_ct,cus_1910y_ct,sub_1910y_ct,cus_1910n_ct,sub_1910n_ct,cus_1969y_ct,sub_1969y_ct,cus_1969n_ct,sub_1969n_ct,0,1,2
2017/06,177276.0,15156.0,37366.0,1501796.0,0.0,728.0,214642.0,1516224.0,515.0,28848.0,214127.0,1488104.0,198411.0,1131930.0,401253.0
2017/07,213724.0,14872.0,47988.0,1459015.0,8.0,634.0,261704.0,1473253.0,774.0,26065.0,260938.0,1447822.0,235194.0,1099384.0,401021.0
2017/08,206146.0,18570.0,51913.0,1539869.0,4.0,711.0,258055.0,1557728.0,638.0,27251.0,257421.0,1531188.0,232102.0,1162011.0,422385.0
2017/09,187660.0,19808.0,47329.0,1623301.0,4.0,656.0,234985.0,1642453.0,621.0,31395.0,234368.0,1611714.0,215442.0,1218524.0,444132.0
2017/10,167525.0,28068.0,37475.0,1664524.0,11.0,1243.0,204989.0,1691349.0,625.0,31126.0,204375.0,1661466.0,204441.0,1251346.0,441805.0
2017/11,69592.0,19753.0,19704.0,1221600.0,6.0,1349.0,89290.0,1240004.0,304.0,23748.0,88992.0,1217605.0,95722.0,930727.0,304200.0
2017/12,27125.0,12320.0,7269.0,843253.0,0.0,840.0,34394.0,854733.0,57.0,17115.0,34337.0,838458.0,43617.0,651548.0,194802.0
2018/01,0.0,282.0,22108.0,696604.0,0.0,16.0,22108.0,696870.0,17160.0,22691.0,4948.0,674195.0,29599.0,537589.0,151806.0
2018/02,0.0,575.0,33358.0,809181.0,0.0,22.0,33358.0,809734.0,25533.0,25691.0,7825.0,784065.0,40099.0,621749.0,181266.0
2018/03,0.0,531.0,59035.0,917106.0,0.0,40.0,59035.0,917597.0,44481.0,29437.0,14554.0,888200.0,61452.0,702533.0,212687.0
2018/04,0.0,656.0,149311.0,1157576.0,0.0,31.0,149311.0,1158201.0,100353.0,37171.0,48958.0,1121061.0,123529.0,890184.0,293830.0
2018/05,18.0,1105.0,242576.0,1581011.0,0.0,25.0,242594.0,1582091.0,167540.0,51880.0,75054.0,1530236.0,199590.0,1203816.0,421304.0
2018/06,12.0,765.0,258303.0,1694023.0,0.0,34.0,258315.0,1694754.0,167921.0,54025.0,90394.0,1640763.0,201651.0,1281908.0,469544.0
2018/07,1.0,512.0,284878.0,1628234.0,4.0,34.0,284875.0,1628712.0,178485.0,49326.0,106394.0,1579420.0,210800.0,1242546.0,460279.0
2018/08,16.0,258.0,273705.0,1703198.0,0.0,36.0,273721.0,1703420.0,171017.0,50502.0,102704.0,1652954.0,205380.0,1296312.0,475485.0
2018/09,15.0,329.0,261138.0,1616402.0,0.0,13.0,261153.0,1616718.0,140219.0,49363.0,120934.0,1567368.0,173487.0,1240964.0,463433.0
2018/10,4.0,299.0,192397.0,1685957.0,0.0,47.0,192401.0,1686209.0,92094.0,51143.0,100307.0,1635113.0,125642.0,1304230.0,448785.0
2018/11,9.0,263.0,95533.0,1164550.0,0.0,24.0,95542.0,1164789.0,44823.0,34770.0,50719.0,1130043.0,67118.0,902869.0,290368.0
2018/12,0.0,513.0,61097.0,954895.0,0.0,24.0,61097.0,955384.0,28301.0,29823.0,32796.0,925585.0,46208.0,746622.0,223675.0
2019/01,1.0,491.0,40172.0,926623.0,0.0,16.0,40173.0,927098.0,17633.0,27709.0,22540.0,899405.0,34129.0,727130.0,206028.0
2019/02,2.0,151.0,46349.0,897242.0,0.0,17.0,46351.0,897376.0,19617.0,27191.0,26734.0,870202.0,36768.0,703464.0,203512.0
2019/03,4.0,316.0,106654.0,1220986.0,0.0,22.0,106658.0,1221280.0,48324.0,36140.0,58334.0,1185162.0,71577.0,962603.0,293780.0
2019/04,2.0,278.0,229431.0,1536383.0,0.0,27.0,229433.0,1536634.0,109707.0,43503.0,119726.0,1493158.0,138258.0,1218551.0,409285.0
2019/05,1.0,357.0,294565.0,1629640.0,0.0,18.0,294566.0,1629979.0,137569.0,46501.0,156997.0,1583496.0,168171.0,1293779.0,462613.0
