yob,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05
1927,42,22,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,27,16,19,4,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0
1929,25,27,8,39,48,28,10,12,6,12,21,23,8,1,1,18,9,2,0,1,0,1,2,1
1930,19,3,2,11,26,4,0,0,0,0,21,5,1,0,97,57,69,54,59,41,18,58,80,99
1931,43,45,42,17,11,7,17,2,10,8,18,30,12,38,26,14,12,5,7,3,1,2,10,6
1932,98,69,103,64,52,31,16,9,28,58,60,81,114,92,112,76,71,54,21,10,21,40,88,108
1933,75,61,37,65,50,56,13,24,39,30,21,44,57,47,72,109,83,32,19,17,15,34,33,43
1934,51,96,64,77,91,72,63,50,52,55,82,97,67,98,94,83,53,46,55,35,32,42,53,32
1935,64,47,81,102,48,18,9,4,17,26,31,80,112,108,138,161,142,75,51,39,71,74,92,93
1936,79,96,77,98,136,116,94,54,45,52,35,76,124,87,72,101,133,95,154,114,178,177,322,292
1937,46,78,108,228,196,125,137,181,235,189,161,188,164,212,172,245,233,202,242,214,248,344,338,318
1938,225,169,98,139,163,148,144,78,92,115,96,159,181,161,166,143,165,152,133,150,167,203,143,205
1939,111,75,76,133,153,125,123,98,94,109,171,171,168,141,190,153,150,83,112,89,63,120,109,163
1940,415,512,452,491,474,332,257,211,225,272,341,393,781,511,663,476,390,300,256,200,210,276,280,352
1941,657,615,647,663,824,668,413,393,407,514,544,689,745,764,601,641,636,537,430,478,427,594,627,567
1942,903,857,889,1103,1092,918,697,505,663,756,751,842,840,841,963,997,941,708,667,638,705,813,907,970
1943,630,636,761,700,815,693,597,441,529,517,707,722,620,615,649,733,856,464,517,546,547,776,837,833
1944,955,809,885,981,1074,754,503,345,545,627,687,930,1042,901,931,857,894,535,488,461,459,641,680,882
1945,1011,1018,992,1271,1306,982,664,460,608,638,791,964,1046,953,851,1012,1097,750,641,572,576,788,1074,1072
1946,1790,1730,1893,2168,2090,1729,1281,1189,1302,1390,1575,2035,1891,1785,1746,2013,1935,1389,1258,1296,1149,1496,1648,1686
1947,2598,2584,2628,2637,2467,2097,1457,1157,1416,1499,1736,2165,2818,2644,2519,2598,2293,1649,1522,1351,1490,1862,1997,2193
1948,2651,2207,2107,2548,2784,2322,1858,1403,1530,1703,2126,2745,2940,2728,2534,2465,2900,2170,1809,1532,1459,2180,2744,2517
1949,2899,2721,2868,2982,2832,2371,1885,1394,1657,1731,2039,2508,2874,2640,2944,2823,2989,1955,1805,1501,1462,1888,2473,2571
1950,3735,3216,3077,3772,3986,3097,2304,1738,2232,2407,2808,3717,3755,3555,3146,3250,3292,2651,2428,2150,2256,2895,3183,3260
1951,4920,4635,4700,5044,4821,3921,2851,2290,2816,3191,3620,4704,4678,4598,4671,4242,4455,3447,3194,2899,2833,3761,4529,4460
1952,5519,4805,5267,5610,5723,4326,3466,2644,3094,3340,3997,5039,5288,4864,4688,4684,5092,3781,3323,2900,2875,3794,4471,5024
1953,8044,7528,7794,8319,8327,6406,5073,3939,4353,4881,6307,7770,7447,7505,7395,7280,7555,5837,5481,5348,4579,6680,7299,7507
1954,9058,8362,8677,9139,9416,7625,5618,4542,5310,6085,7091,8878,9053,8300,8496,8056,8859,6635,5959,5470,5076,7044,8256,8228
1955,9463,8495,8683,9555,9848,8307,6053,4592,5410,6123,7407,9450,9106,8292,8322,8245,9134,6913,6087,5638,5202,6984,8287,8703
1956,10984,10033,10720,11238,12327,10502,7798,6369,6905,7668,9624,12222,12032,11502,12038,11006,12062,8823,7958,7719,7015,9477,11427,11115
1957,13411,12305,12931,13388,13769,10888,8228,6500,7744,8942,9984,13962,14410,12900,13573,11899,14637,9741,8410,8179,7371,10011,12124,12413
1958,14370,12930,13841,14791,15521,12493,9271,7750,8581,9824,11330,14333,14849,13218,13500,13100,14120,10490,9393,9070,8638,11247,13289,13854
1959,15652,15199,15287,16438,16682,13759,10324,8208,9619,10948,13500,16701,16760,16144,15694,15111,16174,11959,10527,9638,9085,12195,14975,15388
1960,18695,16752,17133,18052,18869,15601,12050,10123,11586,12312,14974,19479,19317,18378,18169,17758,19232,13841,12814,11701,11096,14665,17840,18809
1961,18490,16362,17089,18569,19002,15290,11359,9188,10292,11700,13672,18216,18985,17746,19400,17838,19628,14402,12061,11463,10945,14474,17970,18150
1962,21428,18938,20015,21167,21747,17877,13098,10992,12574,13543,16455,21394,21989,19883,19898,19810,21744,16006,14056,13755,12692,17074,20186,21417
1963,21756,19430,20172,22100,22362,18139,13723,10878,12289,14573,17712,23092,23106,21610,21937,21521,22840,16683,15090,14257,13336,17451,21370,22631
1964,22923,20336,20636,23200,23787,19139,14690,12115,13238,15000,17499,23087,24035,21886,22624,22240,24721,18417,16094,15289,14191,19453,23139,24357
1965,23837,20970,22054,24338,24877,19763,15126,11768,12875,14691,17454,23920,25031,23004,22944,22430,23749,17872,16042,15185,14071,19103,23237,24911
1966,23312,20319,20683,23701,24136,18419,13868,11800,13300,15034,17994,23862,25325,23072,23219,23329,25216,18885,16197,15358,14616,19785,22969,25452
