s-sta-id,s-name,s-lat,s-lng,s-id
168,W 18 St & 6 Ave,40.73971301,-73.99456405,71
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,71
304,Broadway & Battery Pl,40.70463334,-74.01361706,71
337,Old Slip & Front St,40.7037992,-74.00838676,71
347,Greenwich St & W Houston St,40.728846,-74.008591,71
359,E 47 St & Park Ave,40.75510267,-73.97498696,71
377,6 Ave & Canal St,40.72243797,-74.00566443,71
388,W 26 St & 10 Ave,40.749717753,-74.002950346,71
402,Broadway & E 22 St,40.7403432,-73.98955109,71
426,West St & Chambers St,40.71754834,-74.01322069,71
484,W 44 St & 5 Ave,40.75500254,-73.98014437,71
491,E 24 St & Park Ave S,40.74096374,-73.98602213,71
520,W 52 St & 5 Ave,40.75992262,-73.97648516,71
2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,71
3233,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,71
3443,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626,71
3461,Murray St & Greenwich St,40.714851505262516,-74.01122331619263,71
3467,W Broadway & Spring Street,40.72494672359416,-74.00165855884552,71
72,W 52 St & 11 Ave,40.76727216,-73.99392888,71
79,Franklin St & W Broadway,40.71911552,-74.00666661,71
82,St James Pl & Pearl St,40.71117416,-74.00016545,71
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,71
116,W 17 St & 8 Ave,40.74177603,-74.00149746,71
119,Park Ave & St Edwards St,40.69608941,-73.97803415,71
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,71
127,Barrow St & Hudson St,40.73172428,-74.00674436,71
128,MacDougal St & Prince St,40.72710258,-74.00297088,71
143,Clinton St & Joralemon St,40.69239502,-73.99337909,71
144,Nassau St & Navy St,40.69839895,-73.98068914,71
146,Hudson St & Reade St,40.71625008,-74.0091059,71
150,E 2 St & Avenue C,40.7208736,-73.98085795,71
151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,71
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,71
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,71
164,E 47 St & 2 Ave,40.75323098,-73.97032517,71
167,E 39 St & 3 Ave,40.7489006,-73.97604882,71
173,Broadway & W 49 St,40.76068327096592,-73.9845272898674,71
174,E 25 St & 1 Ave,40.7381765,-73.97738662,71
195,Liberty St & Broadway,40.70905623,-74.01043382,71
212,W 16 St & The High Line,40.74334935,-74.00681753,71
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,71
217,Old Fulton St,40.70277159,-73.99383605,71
223,W 13 St & 7 Ave,40.73781509,-73.99994661,71
224,Spruce St & Nassau St,40.71146364,-74.00552427,71
228,E 48 St & 3 Ave,40.7546011026,-73.971878855,71
229,Great Jones St,40.72743423,-73.99379025,71
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,71
237,E 11 St & 2 Ave,40.73047309,-73.98672378,71
238,Bank St & Washington St,40.7361967,-74.00859207,71
239,Willoughby St & Fleet St,40.69196566,-73.9813018,71
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,71
242,Carlton Ave & Flushing Ave,40.697787,-73.973736,71
243,Fulton St & Rockwell Pl,40.68841,-73.979458,71
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,71
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,71
247,Perry St & Bleecker St,40.73535398,-74.00483091,71
248,Laight St & Hudson St,40.72185379,-74.00771779,71
249,Harrison St & Hudson St,40.71870987,-74.0090009,71
251,Mott St & Prince St,40.72317958,-73.99480012,71
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,71
254,W 11 St & 6 Ave,40.73532427,-73.99800419,71
257,Lispenard St & Broadway,40.71939226,-74.00247214,71
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,71
259,South St & Whitehall St,40.70122128,-74.01234218,71
260,Broad St & Bridge St,40.70365182,-74.01167797,71
261,Johnson St & Gold St,40.69474881,-73.98362464,71
262,Washington Park,40.6917823,-73.9737299,71
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,71
265,Stanton St & Chrystie St,40.72229346,-73.99147535,71
266,Avenue D & E 8 St,40.72368361,-73.97574813,71
267,Broadway & W 36 St,40.75097711,-73.98765428,71
268,Howard St & Centre St,40.71910537,-73.99973337,71
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,71
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,71
275,Washington Ave & Greene Ave,40.68650065,-73.96563307,71
276,Duane St & Greenwich St,40.71748752,-74.0104554,71
278,Concord St & Bridge St,40.69766564,-73.98476437,71
279,Peck Slip & Front St,40.707873,-74.00167,71
280,E 10 St & 5 Ave,40.73331967,-73.99510132,71
282,Kent Ave & S 11 St,40.707644944175705,-73.96841526031494,71
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,71
285,Broadway & E 14 St,40.73454567,-73.99074142,71
289,Monroe St & Classon Ave,40.6845683,-73.95881081,71
291,Madison St & Montgomery St,40.713126,-73.984844,71
293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,71
295,Pike St & E Broadway,40.71406667,-73.99293911,71
296,Division St & Bowery,40.71413089,-73.9970468,71
297,E 15 St & 3 Ave,40.734232,-73.986923,71
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,71
301,E 2 St & Avenue B,40.72217444,-73.98368779,71
302,Avenue D & E 3 St,40.72082834,-73.97793172,71
303,Mercer St & Spring St,40.72362738,-73.99949601,71
305,E 58 St & 3 Ave,40.76095756,-73.96724467,71
307,Canal St & Rutgers St,40.71427487,-73.98990025,71
308,St James Pl & Oliver St,40.71307916,-73.99851193,71
309,Murray St & West St,40.7149787,-74.013012,71
310,State St & Smith St,40.68926942,-73.98912867,71
311,Norfolk St & Broome St,40.7172274,-73.98802084,71
312,Allen St & Stanton St,40.722055,-73.989111,71
313,Washington Ave & Park Ave,40.69610226,-73.96751037,71
314,Cadman Plaza West & Montague St,40.69383,-73.990539,71
315,South St & Gouverneur Ln,40.70355377,-74.00670227,71
316,Fulton St & William St,40.70955958,-74.00653609,71
317,E 6 St & Avenue B,40.72453734,-73.98185424,71
319,Fulton St & Broadway,40.711066,-74.009447,71
320,Leonard St & Church St,40.717571,-74.005549,71
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,71
323,Lawrence St & Willoughby St,40.69236178,-73.98631746,71
