data-month,yob-1969,cus-ct,sub-ct,yob-nan
201706.0,T,515.0,28848.0,T
201706.0,F,214127.0,1488104.0,T
201707.0,T,774.0,26065.0,T
201707.0,F,260938.0,1447822.0,T
201708.0,T,638.0,27251.0,T
201708.0,F,257421.0,1531188.0,T
201709.0,T,621.0,31395.0,T
201709.0,F,234368.0,1611714.0,T
201710.0,T,625.0,31126.0,T
201710.0,F,204375.0,1661466.0,T
201711.0,T,304.0,23748.0,T
201711.0,F,88992.0,1217605.0,T
201712.0,T,57.0,17115.0,T
201712.0,F,34337.0,838458.0,T
201801.0,T,17160.0,22691.0,F
201801.0,F,4948.0,674195.0,F
201802.0,T,25533.0,25691.0,F
201802.0,F,7825.0,784065.0,F
201803.0,T,44481.0,29437.0,F
201803.0,F,14554.0,888200.0,F
201804.0,T,100353.0,37171.0,F
201804.0,F,48958.0,1121061.0,F
201805.0,T,167540.0,51880.0,F
201805.0,F,75054.0,1530236.0,F
201806.0,T,167921.0,54025.0,F
201806.0,F,90394.0,1640763.0,F
201807.0,T,178485.0,49326.0,F
201807.0,F,106394.0,1579420.0,F
201808.0,T,171017.0,50502.0,F
201808.0,F,102704.0,1652954.0,F
201809.0,T,140219.0,49363.0,F
201809.0,F,120934.0,1567368.0,F
201810.0,T,92094.0,51143.0,F
201810.0,F,100307.0,1635113.0,F
201811.0,T,44823.0,34770.0,F
201811.0,F,50719.0,1130043.0,F
201812.0,T,28301.0,29823.0,F
201812.0,F,32796.0,925585.0,F
201901.0,T,17633.0,27709.0,F
201901.0,F,22540.0,899405.0,F
201902.0,T,19617.0,27191.0,F
201902.0,F,26734.0,870202.0,F
201903.0,T,48324.0,36140.0,F
201903.0,F,58334.0,1185162.0,F
201904.0,T,109707.0,43503.0,F
201904.0,F,119726.0,1493158.0,F
201905,T,137569.0,46501.0,F
201905,F,156997.0,1583496.0,F
